player,team,shots,goals,shots_on_target,passes,pass_completions,pass_accuracy,pressures,dribble_attempts,dribble_success,dribble_rate,ball_recoveries,conversion_rate,shot_accuracy
Adnan Januzaj,Manchester United,4.0,1.0,1.0,45.0,36.0,80.0,28.0,10.0,5.0,50.0,8.0,25.0,25.0
Ander Herrera Agüera,Manchester United,25.0,3.0,6.0,1199.0,979.0,81.7,395.0,39.0,23.0,59.0,102.0,12.0,24.0
Andreas Hoelgebaum Pereira,Manchester United,0.0,0.0,0.0,65.0,48.0,73.8,24.0,4.0,3.0,75.0,7.0,0.0,0.0
Anthony Martial,Manchester United,58.0,11.0,25.0,1016.0,773.0,76.1,403.0,153.0,84.0,54.9,144.0,19.0,43.1
Ashley Young,Manchester United,9.0,1.0,5.0,965.0,707.0,73.3,177.0,45.0,15.0,33.3,102.0,11.1,55.6
Bastian Schweinsteiger,Manchester United,17.0,2.0,6.0,1343.0,1144.0,85.2,320.0,29.0,23.0,79.3,105.0,11.8,35.3
Cameron Borthwick-Jackson,Manchester United,1.0,0.0,1.0,484.0,378.0,78.1,107.0,7.0,5.0,71.4,30.0,0.0,100.0
Chris Smalling,Manchester United,24.0,0.0,3.0,1750.0,1477.0,84.4,470.0,8.0,7.0,87.5,154.0,0.0,12.5
Daley Blind,Manchester United,4.0,1.0,2.0,2420.0,1959.0,81.0,585.0,19.0,14.0,73.7,176.0,25.0,50.0
David de Gea Quintana,Manchester United,0.0,0.0,0.0,1030.0,643.0,62.4,1.0,0.0,0.0,0.0,141.0,0.0,0.0
Donald Love,Manchester United,0.0,0.0,0.0,35.0,24.0,68.6,10.0,5.0,3.0,60.0,6.0,0.0,0.0
Faustino Marcos Alberto Rojo,Manchester United,9.0,0.0,1.0,970.0,696.0,71.8,241.0,2.0,1.0,50.0,55.0,0.0,11.1
Guillermo Varela Olivera,Manchester United,1.0,0.0,0.0,197.0,154.0,78.2,70.0,6.0,3.0,50.0,20.0,0.0,0.0
James Wilson,Manchester United,0.0,0.0,0.0,12.0,12.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Javier Hernández Balcázar,Manchester United,1.0,0.0,1.0,13.0,11.0,84.6,0.0,0.0,0.0,0.0,1.0,0.0,100.0
Jesse Lingard,Manchester United,32.0,4.0,13.0,775.0,639.0,82.5,402.0,37.0,12.0,32.4,85.0,12.5,40.6
Juan Manuel Mata García,Manchester United,65.0,6.0,22.0,2121.0,1814.0,85.5,437.0,66.0,43.0,65.2,176.0,9.2,33.8
Luis Antonio Valencia Mosquera,Manchester United,6.0,0.0,1.0,822.0,699.0,85.0,173.0,29.0,25.0,86.2,65.0,0.0,16.7
Luke Shaw,Manchester United,1.0,0.0,1.0,413.0,340.0,82.3,90.0,7.0,6.0,85.7,21.0,0.0,100.0
Marcus Rashford,Manchester United,16.0,5.0,8.0,209.0,155.0,74.2,128.0,36.0,13.0,36.1,28.0,31.2,50.0
Marouane Fellaini-Bakkioui,Manchester United,22.0,1.0,7.0,649.0,538.0,82.9,234.0,22.0,13.0,59.1,98.0,4.5,31.8
Matteo Darmian,Manchester United,8.0,1.0,1.0,1310.0,1037.0,79.2,381.0,22.0,11.0,50.0,77.0,12.5,12.5
Memphis Depay,Manchester United,60.0,2.0,16.0,810.0,592.0,73.1,220.0,70.0,36.0,51.4,94.0,3.3,26.7
Michael Carrick,Manchester United,7.0,0.0,1.0,1768.0,1540.0,87.1,302.0,14.0,8.0,57.1,119.0,0.0,14.3
Morgan Schneiderlin,Manchester United,11.0,1.0,1.0,1604.0,1426.0,88.9,561.0,26.0,19.0,73.1,158.0,9.1,9.1
Nick Powell,Manchester United,0.0,0.0,0.0,2.0,1.0,50.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Paddy McNair,Manchester United,3.0,0.0,1.0,295.0,235.0,79.7,60.0,3.0,1.0,33.3,31.0,0.0,33.3
Phil Jones,Manchester United,1.0,0.0,0.0,378.0,322.0,85.2,63.0,1.0,0.0,0.0,33.0,0.0,0.0
Sergio Germán Romero,Manchester United,0.0,0.0,0.0,182.0,117.0,64.3,2.0,0.0,0.0,0.0,33.0,0.0,0.0
Timothy Evans Fosu-Mensah,Manchester United,2.0,0.0,0.0,144.0,102.0,70.8,45.0,3.0,2.0,66.7,8.0,0.0,0.0
Wayne Mark Rooney,Manchester United,79.0,8.0,26.0,1343.0,1057.0,78.7,333.0,58.0,36.0,62.1,127.0,10.1,32.9
Will Keane,Manchester United,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
