player,betweenness,passes_received,passes_made,influence_score
Juan Manuel Mata García,0.0499,1720,1631,0.0971
Daley Blind,0.0107,1574,1784,0.077
Michael Carrick,0.0702,1270,1352,0.0668
Wayne Mark Rooney,0.1076,1163,952,0.0661
Morgan Schneiderlin,0.0291,1174,1319,0.0612
Anthony Martial,0.0006,1165,705,0.0607
Ander Herrera Agüera,0.0012,1011,916,0.0547
Chris Smalling,0.0015,1022,1278,0.0503
Bastian Schweinsteiger,0.0392,933,920,0.049
Matteo Darmian,0.0115,790,905,0.0438
Memphis Depay,0.0881,798,542,0.0426
Jesse Lingard,0.0345,729,633,0.0416
Faustino Marcos Alberto Rojo,0.0049,570,645,0.0336
Ashley Young,0.0193,555,566,0.0316
Luis Antonio Valencia Mosquera,0.0,516,597,0.0303
Marouane Fellaini-Bakkioui,0.0657,524,492,0.0295
David de Gea Quintana,0.0258,408,591,0.0227
Cameron Borthwick-Jackson,0.0425,308,374,0.0212
Marcus Rashford,0.1004,266,147,0.0187
Luke Shaw,0.0751,240,290,0.0169
Phil Jones,0.0216,218,268,0.0143
Paddy McNair,0.0927,162,161,0.0125
Guillermo Varela Olivera,0.0277,107,150,0.0107
Timothy Evans Fosu-Mensah,0.0257,81,92,0.0089
Sergio Germán Romero,0.1039,72,87,0.0078
Adnan Januzaj,0.133,51,33,0.0074
Andreas Hoelgebaum Pereira,0.1947,45,41,0.0072
Donald Love,0.0423,13,18,0.0056
Javier Hernández Balcázar,0.0,7,4,0.0053
James Wilson,0.0025,4,3,0.0052
