player,betweenness,passes_received,passes_made,influence_score
Juan Manuel Mata García,0.0703,423,391,0.0961
Michael Carrick,0.0579,440,465,0.0933
Daley Blind,0.0681,425,476,0.086
Anthony Martial,0.0799,338,194,0.0705
Ander Herrera Agüera,0.0172,286,250,0.0651
Wayne Mark Rooney,0.0672,253,202,0.0594
Chris Smalling,0.0897,224,287,0.0461
Memphis Depay,0.0242,209,146,0.0445
Morgan Schneiderlin,0.0238,187,198,0.0441
Ashley Young,0.0199,177,198,0.0402
Bastian Schweinsteiger,0.0463,165,161,0.0385
Matteo Darmian,0.0417,142,154,0.0357
Jesse Lingard,0.0119,146,129,0.0352
Marouane Fellaini-Bakkioui,0.0522,145,150,0.0321
Faustino Marcos Alberto Rojo,0.0273,117,139,0.0311
Cameron Borthwick-Jackson,0.0316,103,129,0.0272
David de Gea Quintana,0.1082,81,154,0.0188
Luis Antonio Valencia Mosquera,0.0317,61,72,0.0176
Marcus Rashford,0.0542,48,30,0.0165
Paddy McNair,0.0461,53,53,0.0158
Luke Shaw,0.0261,52,66,0.0157
Phil Jones,0.0351,58,80,0.0151
Guillermo Varela Olivera,0.0144,33,38,0.0129
Andreas Hoelgebaum Pereira,0.0679,34,33,0.012
Sergio Germán Romero,0.0056,18,19,0.0082
Timothy Evans Fosu-Mensah,0.005,16,16,0.0082
Donald Love,0.0245,13,18,0.008
James Wilson,0.0028,4,3,0.006
