player,betweenness,passes_received,passes_made,influence_score
Juan Manuel Mata García,0.0128,910,886,0.0998
Daley Blind,0.1159,770,872,0.0787
Morgan Schneiderlin,0.0588,695,771,0.0714
Wayne Mark Rooney,0.0374,600,499,0.0641
Michael Carrick,0.0154,579,620,0.059
Ander Herrera Agüera,0.0192,496,464,0.0541
Anthony Martial,0.0059,499,321,0.053
Memphis Depay,0.07,479,320,0.0513
Chris Smalling,0.0,492,608,0.0509
Jesse Lingard,0.0622,410,361,0.0496
Bastian Schweinsteiger,0.061,413,409,0.0448
Matteo Darmian,0.029,390,474,0.0428
Luis Antonio Valencia Mosquera,0.0131,323,376,0.0371
Faustino Marcos Alberto Rojo,0.0018,316,356,0.0368
Ashley Young,0.0636,224,203,0.0274
David de Gea Quintana,0.0647,220,281,0.0251
Marcus Rashford,0.0408,181,88,0.0239
Marouane Fellaini-Bakkioui,0.1071,187,178,0.0225
Cameron Borthwick-Jackson,0.0368,160,193,0.0223
Luke Shaw,0.0395,140,160,0.0189
Phil Jones,0.0444,111,124,0.0153
Timothy Evans Fosu-Mensah,0.0636,60,73,0.0118
Guillermo Varela Olivera,0.1065,48,73,0.0105
Sergio Germán Romero,0.0721,45,48,0.0091
Adnan Januzaj,0.0344,16,9,0.0069
Andreas Hoelgebaum Pereira,0.0131,11,7,0.0066
Paddy McNair,0.0315,9,10,0.0064
