source,target,weight
Adnan Januzaj,Bastian Schweinsteiger,5
Adnan Januzaj,Juan Manuel Mata García,10
Adnan Januzaj,Luke Shaw,4
Adnan Januzaj,Matteo Darmian,3
Adnan Januzaj,Memphis Depay,4
Adnan Januzaj,Morgan Schneiderlin,3
Adnan Januzaj,Wayne Mark Rooney,4
Ander Herrera Agüera,Anthony Martial,62
Ander Herrera Agüera,Ashley Young,58
Ander Herrera Agüera,Bastian Schweinsteiger,45
Ander Herrera Agüera,Cameron Borthwick-Jackson,16
Ander Herrera Agüera,Chris Smalling,48
Ander Herrera Agüera,Daley Blind,43
Ander Herrera Agüera,David de Gea Quintana,14
Ander Herrera Agüera,Faustino Marcos Alberto Rojo,29
Ander Herrera Agüera,Guillermo Varela Olivera,8
Ander Herrera Agüera,Jesse Lingard,51
Ander Herrera Agüera,Juan Manuel Mata García,132
Ander Herrera Agüera,Luis Antonio Valencia Mosquera,59
Ander Herrera Agüera,Luke Shaw,9
Ander Herrera Agüera,Marcus Rashford,15
Ander Herrera Agüera,Marouane Fellaini-Bakkioui,18
Ander Herrera Agüera,Matteo Darmian,64
Ander Herrera Agüera,Memphis Depay,27
Ander Herrera Agüera,Michael Carrick,52
Ander Herrera Agüera,Morgan Schneiderlin,74
Ander Herrera Agüera,Phil Jones,25
Ander Herrera Agüera,Timothy Evans Fosu-Mensah,9
Ander Herrera Agüera,Wayne Mark Rooney,58
Andreas Hoelgebaum Pereira,Anthony Martial,5
Andreas Hoelgebaum Pereira,Cameron Borthwick-Jackson,5
Andreas Hoelgebaum Pereira,Daley Blind,6
Andreas Hoelgebaum Pereira,Jesse Lingard,4
Andreas Hoelgebaum Pereira,Juan Manuel Mata García,3
Andreas Hoelgebaum Pereira,Marouane Fellaini-Bakkioui,6
Andreas Hoelgebaum Pereira,Michael Carrick,8
Andreas Hoelgebaum Pereira,Paddy McNair,4
Anthony Martial,Ander Herrera Agüera,50
Anthony Martial,Ashley Young,26
Anthony Martial,Bastian Schweinsteiger,42
Anthony Martial,Cameron Borthwick-Jackson,35
Anthony Martial,Chris Smalling,14
Anthony Martial,Daley Blind,28
Anthony Martial,Faustino Marcos Alberto Rojo,58
Anthony Martial,Guillermo Varela Olivera,13
Anthony Martial,Jesse Lingard,47
Anthony Martial,Juan Manuel Mata García,108
Anthony Martial,Luis Antonio Valencia Mosquera,17
Anthony Martial,Marcus Rashford,28
Anthony Martial,Marouane Fellaini-Bakkioui,25
Anthony Martial,Matteo Darmian,27
Anthony Martial,Memphis Depay,21
Anthony Martial,Michael Carrick,50
Anthony Martial,Morgan Schneiderlin,42
Anthony Martial,Paddy McNair,5
Anthony Martial,Wayne Mark Rooney,69
Ashley Young,Ander Herrera Agüera,60
Ashley Young,Anthony Martial,54
Ashley Young,Bastian Schweinsteiger,46
Ashley Young,Chris Smalling,27
Ashley Young,Daley Blind,33
Ashley Young,David de Gea Quintana,32
Ashley Young,Jesse Lingard,21
Ashley Young,Juan Manuel Mata García,74
Ashley Young,Luke Shaw,17
Ashley Young,Marouane Fellaini-Bakkioui,9
Ashley Young,Matteo Darmian,14
Ashley Young,Memphis Depay,18
Ashley Young,Michael Carrick,52
Ashley Young,Morgan Schneiderlin,42
Ashley Young,Paddy McNair,3
Ashley Young,Phil Jones,23
Ashley Young,Wayne Mark Rooney,41
Bastian Schweinsteiger,Adnan Januzaj,4
Bastian Schweinsteiger,Ander Herrera Agüera,61
Bastian Schweinsteiger,Anthony Martial,63
Bastian Schweinsteiger,Ashley Young,67
Bastian Schweinsteiger,Chris Smalling,71
Bastian Schweinsteiger,Daley Blind,91
Bastian Schweinsteiger,David de Gea Quintana,24
Bastian Schweinsteiger,Faustino Marcos Alberto Rojo,28
Bastian Schweinsteiger,Guillermo Varela Olivera,4
Bastian Schweinsteiger,Jesse Lingard,15
Bastian Schweinsteiger,Juan Manuel Mata García,77
Bastian Schweinsteiger,Luis Antonio Valencia Mosquera,11
Bastian Schweinsteiger,Luke Shaw,45
Bastian Schweinsteiger,Marouane Fellaini-Bakkioui,10
Bastian Schweinsteiger,Matteo Darmian,40
Bastian Schweinsteiger,Memphis Depay,55
Bastian Schweinsteiger,Michael Carrick,63
Bastian Schweinsteiger,Morgan Schneiderlin,69
Bastian Schweinsteiger,Paddy McNair,12
Bastian Schweinsteiger,Phil Jones,20
Bastian Schweinsteiger,Sergio Germán Romero,6
Bastian Schweinsteiger,Wayne Mark Rooney,84
Cameron Borthwick-Jackson,Ander Herrera Agüera,17
Cameron Borthwick-Jackson,Andreas Hoelgebaum Pereira,4
Cameron Borthwick-Jackson,Anthony Martial,62
Cameron Borthwick-Jackson,Bastian Schweinsteiger,5
Cameron Borthwick-Jackson,Chris Smalling,7
Cameron Borthwick-Jackson,Daley Blind,51
Cameron Borthwick-Jackson,David de Gea Quintana,4
Cameron Borthwick-Jackson,Faustino Marcos Alberto Rojo,5
Cameron Borthwick-Jackson,Jesse Lingard,21
Cameron Borthwick-Jackson,Juan Manuel Mata García,23
Cameron Borthwick-Jackson,Marcus Rashford,5
Cameron Borthwick-Jackson,Marouane Fellaini-Bakkioui,20
Cameron Borthwick-Jackson,Memphis Depay,42
Cameron Borthwick-Jackson,Michael Carrick,47
Cameron Borthwick-Jackson,Morgan Schneiderlin,9
Cameron Borthwick-Jackson,Paddy McNair,3
Cameron Borthwick-Jackson,Wayne Mark Rooney,49
Chris Smalling,Adnan Januzaj,5
Chris Smalling,Ander Herrera Agüera,40
Chris Smalling,Anthony Martial,32
Chris Smalling,Ashley Young,27
Chris Smalling,Bastian Schweinsteiger,74
Chris Smalling,Cameron Borthwick-Jackson,11
Chris Smalling,Daley Blind,290
Chris Smalling,David de Gea Quintana,88
Chris Smalling,Faustino Marcos Alberto Rojo,33
Chris Smalling,Guillermo Varela Olivera,5
Chris Smalling,Jesse Lingard,22
Chris Smalling,Juan Manuel Mata García,48
Chris Smalling,Luis Antonio Valencia Mosquera,64
Chris Smalling,Luke Shaw,7
Chris Smalling,Marcus Rashford,3
Chris Smalling,Marouane Fellaini-Bakkioui,37
Chris Smalling,Matteo Darmian,85
Chris Smalling,Memphis Depay,15
Chris Smalling,Michael Carrick,142
Chris Smalling,Morgan Schneiderlin,120
Chris Smalling,Paddy McNair,19
Chris Smalling,Phil Jones,35
Chris Smalling,Sergio Germán Romero,18
Chris Smalling,Timothy Evans Fosu-Mensah,7
Chris Smalling,Wayne Mark Rooney,51
Daley Blind,Adnan Januzaj,4
Daley Blind,Ander Herrera Agüera,57
Daley Blind,Andreas Hoelgebaum Pereira,7
Daley Blind,Anthony Martial,109
Daley Blind,Ashley Young,38
Daley Blind,Bastian Schweinsteiger,129
Daley Blind,Cameron Borthwick-Jackson,46
Daley Blind,Chris Smalling,215
Daley Blind,David de Gea Quintana,75
Daley Blind,Faustino Marcos Alberto Rojo,81
Daley Blind,Guillermo Varela Olivera,6
Daley Blind,Jesse Lingard,40
Daley Blind,Juan Manuel Mata García,112
Daley Blind,Luis Antonio Valencia Mosquera,16
Daley Blind,Luke Shaw,50
Daley Blind,Marcus Rashford,17
Daley Blind,Marouane Fellaini-Bakkioui,77
Daley Blind,Matteo Darmian,46
Daley Blind,Memphis Depay,109
Daley Blind,Michael Carrick,168
Daley Blind,Morgan Schneiderlin,183
Daley Blind,Paddy McNair,34
Daley Blind,Phil Jones,7
Daley Blind,Sergio Germán Romero,25
Daley Blind,Timothy Evans Fosu-Mensah,11
Daley Blind,Wayne Mark Rooney,122
David de Gea Quintana,Ander Herrera Agüera,16
David de Gea Quintana,Anthony Martial,55
David de Gea Quintana,Ashley Young,18
David de Gea Quintana,Bastian Schweinsteiger,18
David de Gea Quintana,Cameron Borthwick-Jackson,13
David de Gea Quintana,Chris Smalling,55
David de Gea Quintana,Daley Blind,141
David de Gea Quintana,Faustino Marcos Alberto Rojo,28
David de Gea Quintana,Jesse Lingard,5
