player,shots,goals,shots_on_target,passes,pass_completions,pass_accuracy,pressures,dribble_attempts,dribble_success,conversion_rate
Adnan Januzaj,4.0,1.0,1.0,45.0,36.0,80.0,28.0,10.0,5.0,25.0
Ander Herrera Agüera,24.0,3.0,6.0,1122.0,919.0,81.9,364.0,35.0,21.0,12.5
Andreas Hoelgebaum Pereira,0.0,0.0,0.0,65.0,48.0,73.8,24.0,4.0,3.0,0.0
Anthony Martial,57.0,11.0,24.0,938.0,713.0,76.0,372.0,136.0,73.0,19.3
Ashley Young,7.0,1.0,3.0,776.0,571.0,73.6,139.0,38.0,14.0,14.3
Bastian Schweinsteiger,12.0,1.0,3.0,1086.0,924.0,85.1,243.0,23.0,17.0,8.3
Cameron Borthwick-Jackson,1.0,0.0,1.0,484.0,378.0,78.1,107.0,7.0,5.0,0.0
Chris Smalling,21.0,0.0,2.0,1522.0,1280.0,84.1,413.0,8.0,7.0,0.0
Daley Blind,4.0,1.0,2.0,2215.0,1786.0,80.6,541.0,17.0,13.0,25.0
David de Gea Quintana,0.0,0.0,0.0,956.0,596.0,62.3,1.0,0.0,0.0,0.0
Donald Love,0.0,0.0,0.0,35.0,24.0,68.6,10.0,5.0,3.0,0.0
Faustino Marcos Alberto Rojo,8.0,0.0,1.0,902.0,649.0,72.0,225.0,2.0,1.0,0.0
Guillermo Varela Olivera,1.0,0.0,0.0,197.0,154.0,78.2,70.0,6.0,3.0,0.0
James Wilson,0.0,0.0,0.0,6.0,6.0,100.0,0.0,0.0,0.0,0.0
Javier Hernández Balcázar,1.0,0.0,1.0,13.0,11.0,84.6,0.0,0.0,0.0,0.0
Jesse Lingard,31.0,4.0,13.0,771.0,635.0,82.4,395.0,35.0,12.0,12.9
Juan Manuel Mata García,58.0,6.0,22.0,1914.0,1634.0,85.4,396.0,61.0,40.0,10.3
Luis Antonio Valencia Mosquera,5.0,0.0,1.0,709.0,605.0,85.3,145.0,26.0,22.0,0.0
Luke Shaw,1.0,0.0,1.0,351.0,291.0,82.9,68.0,7.0,6.0,0.0
Marcus Rashford,16.0,5.0,8.0,209.0,155.0,74.2,128.0,36.0,13.0,31.2
Marouane Fellaini-Bakkioui,22.0,1.0,7.0,601.0,494.0,82.2,224.0,21.0,12.0,4.5
Matteo Darmian,7.0,1.0,1.0,1157.0,908.0,78.5,347.0,19.0,10.0,14.3
Memphis Depay,56.0,2.0,16.0,751.0,547.0,72.8,187.0,66.0,33.0,3.6
Michael Carrick,7.0,0.0,1.0,1562.0,1353.0,86.6,269.0,12.0,7.0,0.0
Morgan Schneiderlin,11.0,1.0,1.0,1484.0,1321.0,89.0,510.0,26.0,19.0,9.1
Nick Powell,0.0,0.0,0.0,2.0,1.0,50.0,1.0,0.0,0.0,0.0
Paddy McNair,3.0,0.0,1.0,217.0,168.0,77.4,52.0,3.0,1.0,0.0
Phil Jones,1.0,0.0,0.0,321.0,273.0,85.0,58.0,1.0,0.0,0.0
Sergio Germán Romero,0.0,0.0,0.0,140.0,91.0,65.0,1.0,0.0,0.0,0.0
Timothy Evans Fosu-Mensah,2.0,0.0,0.0,144.0,102.0,70.8,45.0,3.0,2.0,0.0
Wayne Mark Rooney,71.0,8.0,24.0,1195.0,955.0,79.9,287.0,50.0,30.0,11.3
Will Keane,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
