player,shots,xg,goals,avg_xg,xg_diff
Adnan Januzaj,4,0.26,1,0.06450669626231131,0.74
Ander Herrera Agüera,25,2.7,3,0.10792392698698261,0.3
Anthony Martial,58,6.85,11,0.1180821468320503,4.15
Ashley Young,9,0.88,1,0.09770826370525026,0.12
Bastian Schweinsteiger,17,1.68,2,0.09863243179768406,0.32
Cameron Borthwick-Jackson,1,0.01,0,0.005487435914238145,-0.01
Chris Smalling,24,2.42,0,0.10063188495557535,-2.42
Daley Blind,4,0.1,1,0.024227963882396668,0.9
Faustino Marcos Alberto Rojo,9,0.5,0,0.05567648484075796,-0.5
Guillermo Varela Olivera,1,0.01,0,0.012679780063285804,-0.01
Javier Hernández Balcázar,1,0.21,0,0.20851417708379621,-0.21
Jesse Lingard,32,2.95,4,0.09232874488885377,1.05
Juan Manuel Mata García,65,6.68,6,0.10282413898162159,-0.68
Luis Antonio Valencia Mosquera,6,0.27,0,0.04488562163901619,-0.27
Luke Shaw,1,0.05,0,0.04960372268816142,-0.05
Marcus Rashford,16,2.14,5,0.13348333837204834,2.86
Marouane Fellaini-Bakkioui,22,3.19,1,0.1450039431717254,-2.19
Matteo Darmian,8,0.15,1,0.018715168301290656,0.85
Memphis Depay,60,4.31,2,0.0718901225191388,-2.31
Michael Carrick,7,0.18,0,0.025465489832633057,-0.18
Morgan Schneiderlin,11,1.14,1,0.10404947278813968,-0.14
Paddy McNair,3,0.2,0,0.06606871055108778,-0.2
Phil Jones,1,0.03,0,0.030526079850045577,-0.03
Timothy Evans Fosu-Mensah,2,0.04,0,0.02071112699799851,-0.04
Wayne Mark Rooney,79,6.98,8,0.08830504584572146,1.02
