x,y,match_id,player
36.9,68.7,3754014,Ander Herrera Agüera
73.9,75.6,3754014,Anthony Martial
63.3,58.3,3754014,Marouane Fellaini-Bakkioui
58.2,61.7,3754014,Chris Smalling
12.5,62.7,3754014,Ashley Young
13.9,61.3,3754014,Ashley Young
11.0,56.2,3754014,Michael Carrick
38.3,11.2,3754014,Memphis Depay
66.5,77.0,3754014,Ashley Young
49.5,73.4,3754014,Michael Carrick
43.5,26.9,3754014,Ander Herrera Agüera
55.4,16.7,3754014,Ander Herrera Agüera
56.0,28.5,3754014,Michael Carrick
62.6,45.2,3754014,Phil Jones
69.6,48.2,3754014,Marouane Fellaini-Bakkioui
66.5,60.7,3754014,Marouane Fellaini-Bakkioui
83.3,34.8,3754014,Memphis Depay
72.1,30.7,3754014,Marouane Fellaini-Bakkioui
78.1,25.7,3754014,Ander Herrera Agüera
84.7,76.4,3754014,Ashley Young
101.4,39.0,3754014,Memphis Depay
85.3,10.0,3754014,Memphis Depay
84.7,7.8,3754014,Daley Blind
61.2,66.3,3754014,Phil Jones
7.7,64.5,3754014,Phil Jones
14.9,57.1,3754014,Phil Jones
23.0,55.1,3754014,Chris Smalling
41.1,12.5,3754014,Daley Blind
47.7,16.0,3754014,Ander Herrera Agüera
44.3,28.5,3754014,Michael Carrick
51.8,76.6,3754014,Juan Manuel Mata García
71.8,77.6,3754014,Ashley Young
32.8,6.2,3754014,Daley Blind
45.3,13.9,3754014,Ander Herrera Agüera
63.8,40.1,3754014,Michael Carrick
77.9,24.3,3754014,Anthony Martial
77.3,53.7,3754014,Michael Carrick
13.9,6.2,3754014,Daley Blind
17.1,7.0,3754014,Ander Herrera Agüera
14.2,49.2,3754014,Ashley Young
31.9,39.1,3754014,Juan Manuel Mata García
87.8,34.2,3754014,Memphis Depay
85.7,19.5,3754014,Ander Herrera Agüera
43.2,6.6,3754014,Marouane Fellaini-Bakkioui
76.7,11.1,3754014,Memphis Depay
104.2,63.0,3754014,Marouane Fellaini-Bakkioui
64.0,16.4,3754014,Daley Blind
99.2,8.4,3754014,Memphis Depay
69.3,3.8,3754014,Daley Blind
83.2,15.3,3754014,Ander Herrera Agüera
14.7,61.3,3754014,Ashley Young
46.2,11.2,3754014,Memphis Depay
23.6,43.5,3754014,Michael Carrick
64.7,65.1,3754014,Juan Manuel Mata García
62.0,19.1,3754014,Daley Blind
79.0,63.7,3754014,Juan Manuel Mata García
70.7,8.4,3754014,Ander Herrera Agüera
65.4,77.4,3754014,Daley Blind
66.5,66.8,3754014,Michael Carrick
54.7,75.6,3754014,Ashley Young
99.9,10.0,3754014,Ander Herrera Agüera
70.0,13.4,3754014,Daley Blind
81.4,75.7,3754014,Juan Manuel Mata García
80.0,69.0,3754014,Marouane Fellaini-Bakkioui
85.7,76.2,3754014,Marouane Fellaini-Bakkioui
67.6,77.3,3754014,Ashley Young
38.2,53.7,3754014,Ander Herrera Agüera
56.4,65.1,3754014,Ander Herrera Agüera
83.2,71.5,3754014,Wayne Mark Rooney
64.0,66.0,3754014,Michael Carrick
69.7,50.6,3754014,Ander Herrera Agüera
106.0,54.4,3754014,Wayne Mark Rooney
72.8,54.4,3754014,Ander Herrera Agüera
8.3,71.5,3754014,Ashley Young
22.3,74.3,3754014,Juan Manuel Mata García
15.2,66.0,3754014,Juan Manuel Mata García
9.7,47.8,3754014,Juan Manuel Mata García
75.6,55.1,3754014,Ander Herrera Agüera
80.6,4.8,3754014,Anthony Martial
104.8,2.2,3754014,Daley Blind
88.9,2.7,3754014,Daley Blind
104.6,65.6,3754014,Ashley Young
98.4,70.1,3754014,Wayne Mark Rooney
