player,total_pressures,balls_won,effectiveness_rate,ci_lower,ci_upper,reliability
Timothy Evans Fosu-Mensah,45,14,31.1,19.5,45.7,Low (n<50)
Guillermo Varela Olivera,70,20,28.6,19.3,40.1,Medium (n=50-100)
Matteo Darmian,347,78,22.5,18.4,27.2,High (n>100)
Luke Shaw,68,15,22.1,13.8,33.3,Medium (n=50-100)
Adnan Januzaj,28,6,21.4,10.2,39.5,Low (n<50)
Jesse Lingard,395,84,21.3,17.5,25.6,High (n>100)
Michael Carrick,269,54,20.1,15.7,25.3,High (n>100)
Marcus Rashford,128,25,19.5,13.6,27.2,High (n>100)
Bastian Schweinsteiger,243,47,19.3,14.9,24.8,High (n>100)
Paddy McNair,52,10,19.2,10.8,31.9,Medium (n=50-100)
Faustino Marcos Alberto Rojo,225,43,19.1,14.5,24.8,High (n>100)
Morgan Schneiderlin,510,95,18.6,15.5,22.2,High (n>100)
Marouane Fellaini-Bakkioui,224,41,18.3,13.8,23.9,High (n>100)
Juan Manuel Mata García,396,72,18.2,14.7,22.3,High (n>100)
Cameron Borthwick-Jackson,107,19,17.8,11.7,26.1,High (n>100)
Wayne Mark Rooney,287,51,17.8,13.8,22.6,High (n>100)
Memphis Depay,187,33,17.6,12.9,23.7,High (n>100)
Daley Blind,541,94,17.4,14.4,20.8,High (n>100)
Ander Herrera Agüera,364,63,17.3,13.8,21.5,High (n>100)
Luis Antonio Valencia Mosquera,145,25,17.2,12.0,24.2,High (n>100)
Chris Smalling,413,68,16.5,13.2,20.3,High (n>100)
Ashley Young,139,23,16.5,11.3,23.6,High (n>100)
Anthony Martial,372,54,14.5,11.3,18.5,High (n>100)
Andreas Hoelgebaum Pereira,24,2,8.3,2.3,25.8,Low (n<50)
Phil Jones,58,4,6.9,2.7,16.4,Medium (n=50-100)
