x,y,match_id,player
98.4,58.5,3754347,Paddy McNair
97.1,34.7,3754347,Marouane Fellaini-Bakkioui
115.8,32.0,3754347,Marouane Fellaini-Bakkioui
111.2,38.4,3754347,Anthony Martial
108.8,41.1,3754347,Marouane Fellaini-Bakkioui
97.5,29.2,3754347,Matteo Darmian
104.6,33.0,3754347,Chris Smalling
97.5,31.0,3754347,Jesse Lingard
103.1,40.9,3754347,Morgan Schneiderlin
101.1,26.6,3754347,Chris Smalling
90.6,35.0,3754347,Jesse Lingard
114.0,38.8,3754347,Marouane Fellaini-Bakkioui
95.5,48.3,3754347,Guillermo Varela Olivera
106.6,47.2,3754347,Juan Manuel Mata García
103.9,25.7,3754347,Anthony Martial
103.7,35.3,3754347,Bastian Schweinsteiger
115.2,49.3,3754347,Anthony Martial
107.8,36.3,3754347,Anthony Martial
109.3,50.6,3754347,Jesse Lingard
115.2,43.5,3754347,Chris Smalling
96.0,42.5,3754347,Michael Carrick
101.9,36.5,3754015,Ander Herrera Agüera
113.1,32.6,3754015,Chris Smalling
89.4,31.3,3754015,Faustino Marcos Alberto Rojo
112.2,33.3,3754015,Jesse Lingard
110.3,46.3,3754015,Chris Smalling
99.1,24.8,3754015,Wayne Mark Rooney
95.6,41.3,3754186,Juan Manuel Mata García
104.8,23.3,3754186,Wayne Mark Rooney
97.0,36.7,3754186,Wayne Mark Rooney
110.6,31.5,3754186,Bastian Schweinsteiger
111.2,36.4,3754186,Chris Smalling
95.2,30.7,3754186,Bastian Schweinsteiger
110.4,40.3,3754186,Wayne Mark Rooney
114.7,38.8,3754186,Bastian Schweinsteiger
110.9,38.2,3754186,Bastian Schweinsteiger
110.4,49.4,3754186,Juan Manuel Mata García
110.8,47.5,3754186,Memphis Depay
97.5,50.3,3754186,Matteo Darmian
95.1,36.8,3754223,Wayne Mark Rooney
108.1,40.6,3754223,Ander Herrera Agüera
92.9,52.3,3754223,Wayne Mark Rooney
111.0,43.6,3754223,Anthony Martial
98.8,38.9,3754223,Wayne Mark Rooney
96.1,24.0,3754254,Memphis Depay
