x,y,match_id,player
104.6,46.6,3754014,Memphis Depay
90.6,47.4,3754014,Ander Herrera Agüera
86.8,27.7,3754014,Memphis Depay
110.2,34.2,3754014,Marouane Fellaini-Bakkioui
103.4,54.9,3754014,Anthony Martial
110.4,40.6,3754014,Marouane Fellaini-Bakkioui
96.5,54.8,3754014,Ander Herrera Agüera
100.2,34.1,3754014,Ander Herrera Agüera
99.6,38.3,3754014,Anthony Martial
107.2,50.5,3754014,Juan Manuel Mata García
98.4,58.5,3754347,Paddy McNair
97.1,34.7,3754347,Marouane Fellaini-Bakkioui
115.8,32.0,3754347,Marouane Fellaini-Bakkioui
111.2,38.4,3754347,Anthony Martial
108.8,41.1,3754347,Marouane Fellaini-Bakkioui
97.5,29.2,3754347,Matteo Darmian
104.6,33.0,3754347,Chris Smalling
97.5,31.0,3754347,Jesse Lingard
103.1,40.9,3754347,Morgan Schneiderlin
101.1,26.6,3754347,Chris Smalling
90.6,35.0,3754347,Jesse Lingard
114.0,38.8,3754347,Marouane Fellaini-Bakkioui
95.5,48.3,3754347,Guillermo Varela Olivera
106.6,47.2,3754347,Juan Manuel Mata García
103.9,25.7,3754347,Anthony Martial
103.7,35.3,3754347,Bastian Schweinsteiger
115.2,49.3,3754347,Anthony Martial
107.8,36.3,3754347,Anthony Martial
109.3,50.6,3754347,Jesse Lingard
115.2,43.5,3754347,Chris Smalling
96.0,42.5,3754347,Michael Carrick
101.9,36.5,3754015,Ander Herrera Agüera
113.1,32.6,3754015,Chris Smalling
89.4,31.3,3754015,Faustino Marcos Alberto Rojo
112.2,33.3,3754015,Jesse Lingard
110.3,46.3,3754015,Chris Smalling
99.1,24.8,3754015,Wayne Mark Rooney
96.1,32.0,3754008,Juan Manuel Mata García
101.7,50.9,3754008,Juan Manuel Mata García
96.6,32.6,3754008,Memphis Depay
96.1,29.9,3754008,Memphis Depay
94.2,51.3,3754008,Wayne Mark Rooney
116.9,39.1,3754008,Memphis Depay
118.1,43.7,3754008,Wayne Mark Rooney
104.0,42.5,3754008,Memphis Depay
111.6,44.8,3754008,Anthony Martial
99.8,35.0,3754008,Juan Manuel Mata García
112.6,35.4,3754008,Wayne Mark Rooney
112.8,47.5,3754008,Juan Manuel Mata García
100.1,37.2,3754011,Anthony Martial
111.5,37.8,3754011,Memphis Depay
110.7,37.5,3754011,Anthony Martial
110.5,37.0,3754011,Morgan Schneiderlin
103.7,32.6,3754011,Anthony Martial
88.2,26.5,3754011,Memphis Depay
109.2,29.6,3754011,Memphis Depay
104.2,41.0,3754011,Juan Manuel Mata García
95.7,51.7,3754011,Juan Manuel Mata García
97.9,35.3,3754011,Memphis Depay
114.8,48.8,3754107,Morgan Schneiderlin
94.5,23.1,3754107,Memphis Depay
106.9,28.6,3754107,Memphis Depay
114.6,29.6,3754107,Adnan Januzaj
104.2,18.0,3754107,Memphis Depay
90.6,20.8,3754107,Memphis Depay
102.5,31.4,3754107,Memphis Depay
95.7,36.7,3754107,Memphis Depay
97.5,43.7,3754097,Juan Manuel Mata García
104.3,30.8,3754097,Memphis Depay
103.5,50.7,3754097,Juan Manuel Mata García
103.0,39.3,3754097,Juan Manuel Mata García
100.7,28.4,3754097,Memphis Depay
91.5,37.7,3754097,Memphis Depay
107.6,30.5,3754097,Ashley Young
108.6,38.8,3754097,Wayne Mark Rooney
96.7,25.8,3754097,Wayne Mark Rooney
101.4,48.2,3754185,Ander Herrera Agüera
111.2,40.6,3754185,Memphis Depay
112.0,53.5,3754185,Morgan Schneiderlin
94.6,21.4,3754185,Memphis Depay
103.9,32.0,3754185,Jesse Lingard
91.5,48.5,3754185,Bastian Schweinsteiger
103.2,52.0,3754185,Phil Jones
96.5,22.6,3754185,Memphis Depay
105.7,27.9,3754185,Memphis Depay
98.8,38.8,3754185,Jesse Lingard
111.7,36.3,3754185,Chris Smalling
107.4,29.8,3754185,Jesse Lingard
118.0,48.4,3754185,Bastian Schweinsteiger
112.4,36.2,3754162,Marouane Fellaini-Bakkioui
107.7,35.4,3754162,Paddy McNair
111.0,44.9,3754162,Paddy McNair
101.7,41.5,3754162,Anthony Martial
110.4,28.3,3754162,Memphis Depay
114.5,38.9,3754162,Marouane Fellaini-Bakkioui
106.3,36.7,3754162,Marouane Fellaini-Bakkioui
106.3,29.0,3754162,Marouane Fellaini-Bakkioui
111.4,43.8,3754162,Marouane Fellaini-Bakkioui
101.5,39.1,3754162,Michael Carrick
104.5,37.1,3754162,Anthony Martial
109.5,40.0,3754171,Anthony Martial
94.8,36.3,3754171,Ashley Young
97.9,34.4,3754171,Wayne Mark Rooney
110.9,37.6,3754171,Bastian Schweinsteiger
98.4,45.4,3754171,Juan Manuel Mata García
94.1,54.2,3754171,Juan Manuel Mata García
101.1,55.9,3754171,Luis Antonio Valencia Mosquera
93.2,47.5,3754171,Wayne Mark Rooney
95.6,41.3,3754186,Juan Manuel Mata García
104.8,23.3,3754186,Wayne Mark Rooney
97.0,36.7,3754186,Wayne Mark Rooney
110.6,31.5,3754186,Bastian Schweinsteiger
111.2,36.4,3754186,Chris Smalling
95.2,30.7,3754186,Bastian Schweinsteiger
110.4,40.3,3754186,Wayne Mark Rooney
114.7,38.8,3754186,Bastian Schweinsteiger
110.9,38.2,3754186,Bastian Schweinsteiger
110.4,49.4,3754186,Juan Manuel Mata García
110.8,47.5,3754186,Memphis Depay
97.5,50.3,3754186,Matteo Darmian
97.4,49.9,3754221,Morgan Schneiderlin
94.9,31.7,3754221,Memphis Depay
96.7,40.5,3754221,Juan Manuel Mata García
108.9,50.8,3754221,Juan Manuel Mata García
110.5,45.6,3754221,Wayne Mark Rooney
105.2,25.5,3754221,Wayne Mark Rooney
93.6,37.1,3754221,Ander Herrera Agüera
117.4,47.0,3754221,Juan Manuel Mata García
113.7,48.1,3754221,Wayne Mark Rooney
112.8,27.3,3754221,Juan Manuel Mata García
110.6,36.6,3754221,Memphis Depay
95.1,36.8,3754223,Wayne Mark Rooney
108.1,40.6,3754223,Ander Herrera Agüera
92.9,52.3,3754223,Wayne Mark Rooney
111.0,43.6,3754223,Anthony Martial
98.8,38.9,3754223,Wayne Mark Rooney
96.1,24.0,3754254,Memphis Depay
89.0,44.5,3754254,Wayne Mark Rooney
95.1,51.4,3754254,Juan Manuel Mata García
97.0,29.8,3754254,Adnan Januzaj
107.1,52.6,3754254,Juan Manuel Mata García
100.5,30.5,3754254,Wayne Mark Rooney
110.5,23.0,3754254,Memphis Depay
104.3,46.4,3754254,Adnan Januzaj
89.6,27.1,3754254,Daley Blind
93.9,26.6,3754254,Memphis Depay
97.6,29.3,3754254,Memphis Depay
103.8,37.6,3754254,Wayne Mark Rooney
111.8,50.9,3754254,Juan Manuel Mata García
108.3,26.9,3754254,Juan Manuel Mata García
100.9,34.1,3754254,Luke Shaw
97.4,45.0,3754254,Juan Manuel Mata García
110.2,35.6,3754254,Javier Hernández Balcázar
110.6,46.8,3754254,Luis Antonio Valencia Mosquera
114.5,40.9,3754254,Chris Smalling
98.7,45.1,3754254,Michael Carrick
98.3,57.2,3754256,Wayne Mark Rooney
93.8,39.9,3754256,Ander Herrera Agüera
108.2,31.8,3754256,Morgan Schneiderlin
108.7,41.1,3754256,Ander Herrera Agüera
